Correios Empresas - Extrato analitico de previa de fatura

CNPJ;RAZAO SOCIAL;AN8 CLIENTE;CONTRATO;DR DO CONTRATO
24.854.672/0001-22;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;80661839;"9912600030  ";SE/SC

CODIGO DO CENTRO CUSTO;NOME DO CENTRO CUSTO;CARTAO DE POSTAGEM;TITULAR DO CARTAO POSTAGEM;DATA DE POSTAGEM;CODIGO DO SERVICO;DESCRICAO DO SERVICO;QUANTIDADE DE ITENS;PESO;VALOR UNITARIO DO SERVICO;VALOR DO SERVICO;NUMERO DO DOCUMENTO;ETIQUETA;VALOR DECLARADO;VALOR DO DESCONTO;CODIGO DO DESCONTO OPERACIONAL;CODIGO DO SERVICO ADICIONAL;UNIDADE DE POSTAGEM;CEP DE ORIGEM;MUNICIPIO DE ORIGEM;UF DE ORIGEM;CEP DE DESTINO;MUNICIPIO DE DESTINO;UF DE DESTINO;ALTURA;LARGURA;COMPRIMENTO;DIAMETRO;PESOREAL
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-11;03220;SEDEX CONTRATO AG;1;125;39,17;39,17;0761090508;OV761090508BR;0;0;000000000000;"        ";00062226 - AC SANTA TEREZINHA;89199972;SANTA TEREZINHA;SC;13486000;LIMEIRA;SP;500;1600;1600;0;1
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-12;03220;SEDEX CONTRATO AG;1;1006;55;55;0762921480;OV762921480BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;78700000;;;1200;1600;2400;0;10
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-15;03220;SEDEX CONTRATO AG;1;235;60,39;60,39;0762917091;OV762917091BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;68515000;PARAUAPEBAS;PA;1800;900;2800;0;2
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-15;03220;SEDEX CONTRATO AG;1;220;24,72;24,72;0762917114;OV762917114BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;20735000;RIO DE JANEIRO;RJ;800;1800;2800;0;2
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-15;03220;SEDEX CONTRATO AG;1;8424;20,63;20,63;0762917128;OV762917128BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;13070000;CAMPINAS;SP;2600;3600;5400;0;31
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-15;03220;SEDEX CONTRATO AG;1;1057;90,01;90,01;0762917105;OV762917105BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;64750000;PAULISTANA;PI;800;1800;2800;0;10
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-17;03220;SEDEX CONTRATO AG;1;10945;126,84;126,84;0762922785;OV762922785BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;89199000;SANTA TEREZINHA;SC;1800;2600;3600;0;109
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-17;03220;SEDEX CONTRATO AG;1;263;24,72;24,72;0762922777;OV762922777BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;30520000;BELO HORIZONTE;MG;800;1600;2400;0;2
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-17;03220;SEDEX CONTRATO AG;1;1034;12,84;12,84;0762922763;OV762922763BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;04795000;SAO PAULO;SP;1900;1900;3100;0;10
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-19;03220;SEDEX CONTRATO AG;1;302;54,07;54,07;0873085220;OV873085220BR;0;0;000000000000;"        ";00027179 - AC LIMEIRA;13480970;LIMEIRA;SP;58045000;JOAO PESSOA;PB;1200;1600;2400;0;3
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-19;03298;PAC CONTRATO AG;1;286;19,62;19,62;0764279247;QC764279247BR;0;0;000000000000;"        ";00027179 - AC LIMEIRA;13480970;LIMEIRA;SP;78040000;CUIABA;MT;1200;1600;2400;0;2
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-19;116601000;CAIXA ENCOMENDA RPC 3B;5;0;11;55;0572121437;0000000000000;0;0;000000000000;"        ";00027179 - AC LIMEIRA;13480970;LIMEIRA;SP;"     000";;;0;0;0;0;0
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-23;03220;SEDEX CONTRATO AG;1;930;41,25;41,25;0762919781;OV762919781BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;29902000;;;1200;1600;2400;0;9
80661839;RILIX BRASIL;0077610938;RILIX IND COM SOFTWARE E JOGOS ELET LTDA;2024-01-23;03220;SEDEX CONTRATO AG;1;753;10,23;10,23;0762919795;OV762919795BR;0;0;000000000000;"        ";00235215 - AGF BOA VISTA;13486971;LIMEIRA;SP;07134000;GUARULHOS;SP;800;1600;2400;0;7

DESCRICAO CREDITO;VALOR CREDITO

DESCRICAO DEBITO OU ENCARGOS;VALOR DEBITO

NUMERO DO CARTAO DE POSTAGEM;QUANTIDADE DE LANCAMENTOS DO CARTAO DE POSTAGEM;VALOR TOTAL DO CARTAO DE POSTAGEM
0077610938;30;1.043,67

CODIGO DO CENTRO DE CUSTOS;QUANTIDADE DE LANCAMENTOS DO CENTRO DE CUSTOS;SUBTOTAL DO CENTRO DE CUSTOS;DEBITOS DO CENTRO DE CUSTOS;CREDITOS DO CENTRO DE CUSTOS;ENCARGOS DO CENTRO DE CUSTOS;VALOR TOTAL DO CENTRO DE CUSTOS
80661839;30;1.043,67;0;0;0;1.043,67

QUANTIDADE TOTAL;SUBTOTAL A FATURAR;TOTAL DE DEBITOS;TOTAL DE CREDITOS;TOTAL DE ENCARGOS;TOTAL A FATURAR
30;1.043,67;0;0;0;1.043,67
